"","day.number","day.dry.number","day.wet.number","day.mix.number","day.max.wet","day.min.wet","day.max.dry","day.min.dry","day.mean.dry","day.med.dry","day.mean.wet","day.med.wet","day.date","median.value","mean.value","median.value.between","n.dry","day.prop.wet","mean.value.day","mean.value.night","date"
"1","1","24","24","24","13","1","5","1","2.375","2","5.28571428571429","5","39986","0","0",NA,"144","0","0","0","2009-06-24"
"2","2","24","24","24","7","1","42","1","11.4444444444444","3","3.4","3","39987","0","0",NA,"144","0","0","0","2009-06-25"
"3","3","36","36","36","17","1","51","1","8.6","2","3.7","1.5","39988","0","0",NA,"144","0","0","0","2009-06-26"
"4","4","29","29","29","28","1","55","1","7.72727272727273","2","7.16666666666667","2.5","39989","0","0",NA,"144","0","0","0","2009-06-27"
"5","5","30","30","30","25","1","21","1","6.6","1.5","8.85714285714286","3","39990","0","0",NA,"144","0","0","0","2009-06-28"
"6","6","36","36","36","5","1","67","1","10.7142857142857","5.5","2.42857142857143","2","39991","0","0",NA,"144","0","0","0","2009-06-29"
"7","7","43","43","43","8","1","15","1","3.35714285714286","2","1.83333333333333","1","39992","0","0",NA,"144","0","0","0","2009-06-30"
"8","8","42","42","42","8","1","48","1","8.66666666666667","1","2.5","2","39993","0","0",NA,"144","0","0","0","2009-07-01"
"9","9","40","40","40","7","1","27","1","7.25","4","3.08333333333333","2.5","39994","0","0",NA,"144","0","0","0","2009-07-02"
"10","10","39","39","39","3","1","24","1","7.84615384615385","5","1.375","1","39995","0","0",NA,"144","0","0","0","2009-07-03"
"11","11","36","36","36","32","1","35","1","6.15384615384615","3","6.125","2.5","39996","0","0",NA,"144","0","0","0","2009-07-04"
"12","12","37","37","37","5","1","28","1","7.5","4.5","2.6","2.5","39997","0","0",NA,"144","0","0","0","2009-07-05"
"13","13","52","52","52","6","1","11","1","4.47058823529412","4","2.53846153846154","1","39998","0","0",NA,"144","0","0","0","2009-07-06"
"14","14","60","60","60","5","1","14","1","4.625","4","1.94444444444444","2","39999","0","0",NA,"144","0","0","0","2009-07-07"
"15","15","64","64","64","13","1","9","1","3.26666666666667","2","2.68181818181818","2","40000","0","0",NA,"144","0","0","0","2009-07-08"
"16","16","53","53","53","8","1","10","1","4","4","2.33333333333333","2","40001","0","0.0555555555555556","8","144","0.000277777777777778","0","0","2009-07-09"
"17","17","36","36","36","50","1","4","1","1.81818181818182","1","9.18181818181818","3","40002","0","44.7291666666667","128.5","104","0.223645833333333","0","36.75","2009-07-10"
"18","18","47","47","47","12","1","19","1","6.53846153846154","4","2.13333333333333","1","40003","0","47.1527777777778","120","103","0.235763888888889","25.25","150.25","2009-07-11"
"19","19","31","31","31","12","1","42","1","9.81818181818182","4","3.22222222222222","2","40004","11.5","67.5972222222222","143.5","86","0.337986111111111","0","138.333333333333","2009-07-12"
"20","20","54","54","54","26","1","10","1","3.82352941176471","3","3.28571428571429","2","40005","1","71.1388888888889","143","85","0.355694444444444","20.1666666666667","114.666666666667","2009-07-13"
"21","21","56","56","56","26","1","8","1","3.15","2.5","3.64285714285714","2","40006","80","96.6458333333333","193.5","66","0.483229166666667","0","188.333333333333","2009-07-14"
"22","22","46","46","46","25","1","6","1","2.30769230769231","2","5","1.5","40007","0","37.7013888888889","96.5","106","0.188506944444444","94.8333333333333","80.1666666666667","2009-07-15"
"23","23","62","62","62","37","1","7","1","2.25","1","3.27272727272727","1","40008","0.5","54.1805555555556","108.5","91","0.270902777777778","57.5833333333333","66.9166666666667","2009-07-16"
"24","24","39","39","39","26","1","1","1","1","1","6.16666666666667","4","40009","19","70.3263888888889","133","78","0.351631944444444","51.0833333333333","158.833333333333","2009-07-17"
"25","25","46","46","46","34","1","5","1","2.16666666666667","1.5","5.1","2","40010","1.5","59.1666666666667","114","87","0.295833333333333","9.58333333333333","87.6666666666667","2009-07-18"
"26","26","44","44","44","53","1","6","1","2","1","5.57894736842105","2","40011","0","40.3541666666667","88.5","102","0.201770833333333","10.9166666666667","166","2009-07-19"
"27","27","28","28","28","22","1","1","1","1","1","7","2.5","40012","20.5","74.7291666666667","108","80","0.373645833333333","87.5833333333333","124.166666666667","2009-07-20"
"28","28","33","33","33","35","1","3","1","2","2","7.6875","4","40013","9.5","59.0208333333333","66.5","90","0.295104166666667","22.3333333333333","190.5","2009-07-21"
"29","29","16","16","16","64","1","-Inf","Inf","NaN",NA,"18.625","5.5","40014","39.5","72.1736111111111","74","76","0.360868055555556","50.5833333333333","186.416666666667","2009-07-22"
"30","30","28","28","28","24","1","-Inf","Inf","NaN",NA,"7","4.5","40015","57.5","76.0416666666667","96.5","70","0.380208333333333","16.25","116.25","2009-07-23"
"31","31","54","54","54","16","1","-Inf","Inf","NaN",NA,"4.11111111111111","3","40016","100","94.2152777777778","112","53","0.471076388888889","40.25","84.75","2009-07-24"
"32","32","46","46","46","49","1","1","1","1","1","5.45454545454545","2","40017","88.5","91.8263888888889","114","60","0.459131944444444","99.3333333333333","149.75","2009-07-25"
"33","33","32","32","32","21","1","-Inf","Inf","NaN",NA,"7.1875","5.5","40018","195","155.305555555556","164.5","20","0.776527777777778","104.666666666667","162.5","2009-07-26"
"34","34","22","22","22","68","1","-Inf","Inf","NaN",NA,"13.2727272727273","6","40019","11.5","61.7013888888889","106","85","0.308506944444444","15.1666666666667","181.75","2009-07-27"
